Text,Income,Credit_Score,Loan_Amount,DTI_Ratio,Employment_Status,Approval
I want to start a small roadside food stall and need funds for equipment.,57399,831,12769,62.59,unemployed,Rejected
I want to start a small roadside food stall and need funds for equipment.,39096,515,10917,19.63,employed,Rejected
I want to invest in a rental property as a source of passive income.,153028,780,53313,31.99,employed,Approved
I need a loan to start a small business.,23682,795,16037,207.64,unemployed,Rejected
I need a loan to pay for a digital marketing course to grow my business.,61229,771,3257,57.05,unemployed,Rejected
I want to start a mobile pet grooming service and need funds for supplies.,116535,452,33225,25.27,employed,Rejected
I need a loan to install a security system at home.,157224,630,125325,16.03,employed,Rejected
I need a loan to pay off overdue electricity and water bills.,52122,771,18114,88.44,unemployed,Rejected
I need financial help to install a swimming pool in my backyard.,196324,643,153677,6.6,unemployed,Rejected
I need financial help to build my dream home in the countryside.,93713,474,30218,52.27,employed,Rejected
I need a loan to cover moving expenses after being transferred to another city.,86980,342,49890,18.95,unemployed,Rejected
I need money to buy new tools and materials for my woodworking business.,36663,309,18202,107.57,employed,Rejected
I want to make home improvements like installing solar panels.,136319,398,69586,3.73,unemployed,Rejected
I need funds to upgrade my computer and buy software for freelance work.,160359,632,11511,13.06,unemployed,Rejected
I need financial assistance to launch my own YouTube content creation business.,95344,706,74284,6.01,unemployed,Rejected
I need money to cover unexpected legal expenses related to a dispute.,108790,556,65999,34.68,unemployed,Rejected
I need money to buy new tools and materials for my woodworking business.,81913,823,8754,49.87,unemployed,Rejected
I need financial assistance to launch my own YouTube content creation business.,160747,530,25887,18.14,employed,Rejected
I need funds to upgrade my computer and buy software for freelance work.,143620,836,106871,7.12,employed,Rejected
I want to consolidate my credit card debts into one manageable payment.,193967,421,40623,17.01,employed,Rejected
I need a loan to upgrade my small music studio with better equipment.,169198,791,75700,12.85,unemployed,Rejected
I need funds to buy new furniture and appliances for my house.,43596,729,6823,95.62,unemployed,Rejected
I need money to purchase updated equipment for my photography business.,121797,594,16056,37.24,employed,Approved
I need financial support to pay for my son's football training program.,32362,577,12180,71.78,employed,Rejected
I need money to open a small bookstore and café.,95654,485,4273,21.58,unemployed,Rejected
I need funds to expand my home-based bakery to a physical store.,37092,314,16689,33.73,unemployed,Rejected
I need a loan to upgrade my small music studio with better equipment.,96909,467,22156,26.81,unemployed,Rejected
I need money to invest in a franchise business opportunity.,141645,422,29574,31.27,employed,Rejected
I need money to open a small bookstore and café.,190578,603,53107,19.39,employed,Approved
I want to start a mobile pet grooming service and need funds for supplies.,145644,661,45588,12.1,employed,Approved
I need a loan to buy a motorcycle for daily transportation.,91627,513,48358,29.02,employed,Rejected
I need a loan to finance my MBA and career advancement.,70009,531,47894,13.62,unemployed,Rejected
I need a loan to pay for my son's medical treatment and therapy.,90360,501,33073,15.21,employed,Rejected
I need funds to upgrade my computer and buy software for freelance work.,128867,524,47657,21.72,employed,Rejected
I want to buy a car for my rideshare business on Uber.,181777,808,136395,22.64,employed,Rejected
I need financial support to pay for my son's football training program.,144142,793,100625,10.65,employed,Rejected
I need a loan to cover hospital bills after an unexpected surgery.,80289,809,33901,16.08,unemployed,Rejected
I need a loan to develop and launch my mobile app startup.,141995,413,95942,20.87,unemployed,Rejected
I need funds to launch my handmade jewelry brand online.,129118,588,48104,21.9,employed,Approved
I need a loan to buy a motorcycle for daily transportation.,156564,567,115486,3.97,employed,Rejected
I need money to start a home-based catering business.,147649,742,53617,29.92,unemployed,Rejected
I need a loan to pay for my son's medical treatment and therapy.,89828,613,55764,5.6,unemployed,Rejected
I need a loan to upgrade my small music studio with better equipment.,175723,607,90146,8.42,employed,Approved
I need a loan to buy a motorcycle for daily transportation.,155057,493,77267,20.0,employed,Rejected
I need a loan to start a small business.,184056,330,26701,5.33,unemployed,Rejected
I need money to cover adoption fees and related expenses.,49724,494,36621,84.88,employed,Rejected
I need money to cover unexpected medical expenses from surgery.,63102,336,24191,10.95,unemployed,Rejected
I need a loan to support my side business selling handmade candles.,137290,468,27600,35.41,unemployed,Rejected
I need financial assistance to buy farm equipment for my agricultural business.,126953,348,72443,7.87,unemployed,Rejected
I want to expand my small online clothing store.,172456,410,114033,12.17,unemployed,Rejected
I need a loan to relocate to a new city after getting a job offer.,128293,640,5204,31.53,unemployed,Rejected
I need money to purchase updated equipment for my photography business.,154234,617,39836,5.21,unemployed,Rejected
I need a loan to buy a truck and start a moving business.,83258,662,31874,8.82,employed,Approved
I need money to publish and market my self-written book.,158651,609,61290,27.41,unemployed,Rejected
I want to expand my small online clothing store.,121664,529,22628,13.94,unemployed,Rejected
I need financial help to cover maternity and delivery expenses.,126535,528,56362,15.87,unemployed,Rejected
I need a loan to start a small business.,68173,528,10621,39.6,employed,Rejected
I need financial support to pay for my son's football training program.,185318,437,31879,6.43,employed,Rejected
I need financial help to install a swimming pool in my backyard.,170451,371,8170,12.46,unemployed,Rejected
I need money to purchase updated equipment for my photography business.,25315,458,3814,137.12,employed,Rejected
I need financial help to cover maternity and delivery expenses.,188048,833,70532,5.71,unemployed,Rejected
I want to buy a car for my rideshare business on Uber.,195043,352,99824,13.75,employed,Rejected
I need money to pay for a vocational training course in plumbing.,76867,336,17749,56.87,unemployed,Rejected
I need money to invest in stock trading and portfolio building.,125899,827,45138,31.39,unemployed,Rejected
I need funds to buy new furniture and appliances for my house.,88447,694,43579,25.94,employed,Approved
I want to pay off my payday loans and switch to a lower-interest option.,87814,712,63501,21.05,employed,Rejected
I need money to pay for a vocational training course in plumbing.,77569,310,15596,9.98,employed,Rejected
I need money to start a home-based catering business.,139618,401,88505,21.47,unemployed,Rejected
I need financial help to pay off my high-interest payday loans.,81752,591,12573,58.4,unemployed,Rejected
I need money to pay for a vocational training course in plumbing.,189209,347,33962,6.83,employed,Rejected
I need a loan to pay for a digital marketing course to grow my business.,23131,303,3941,52.38,employed,Rejected
I want to purchase land to start an organic farming venture.,55180,352,33943,67.03,employed,Rejected
I need financial help to install a swimming pool in my backyard.,149772,599,40761,7.61,unemployed,Rejected
I want to purchase land to start an organic farming venture.,129079,727,31986,36.94,unemployed,Rejected
I need a loan to buy a reliable used car for work commuting.,149392,338,35172,31.06,employed,Rejected
I need money to purchase specialized tools for my auto repair shop.,71153,766,6313,40.86,unemployed,Rejected
I need a loan to finance my MBA and career advancement.,117973,545,47074,22.08,unemployed,Rejected
I need funds to expand my home-based bakery to a physical store.,63346,429,45632,23.65,unemployed,Rejected
I need financial help to cover unexpected veterinary bills for my pet.,126048,696,8391,5.82,unemployed,Rejected
I need a loan to cover hospital bills after an unexpected surgery.,171299,301,24915,24.94,employed,Rejected
I need money to open a small bookstore and café.,48277,531,37364,61.06,employed,Rejected
I need a loan to pay for my son's medical treatment and therapy.,46536,604,36656,24.34,unemployed,Rejected
I need money to purchase a food truck and start my own business.,34868,359,17698,72.76,unemployed,Rejected
I need money to buy new tools and materials for my woodworking business.,133962,307,33770,30.74,unemployed,Rejected
